package,kind,V1_typosquatting,V2_install_execution,V3_obfuscation,V4_command_execution,V5_insecure_deserialization,V6_encoding,V7_network_exfiltration
testing1232,archive,0,0,0,1,0,1,1
tpcraftcraftencode,archive,0,0,0,1,0,0,0
artifact-lab,archive,0,1,0,1,0,0,1
selenium-matplotlib,dir,0,0,0,1,0,1,1
selfvisarandompush,archive,0,0,0,1,0,0,0
certife,archive,1,0,0,1,0,1,1
wwebsockets,archive,1,0,0,0,0,0,0
formatter-test-package,archive,0,1,0,1,0,0,1
solanaa,archive,1,0,0,0,0,0,0
11cent,archive,0,1,0,0,0,0,1
selfpushlgtbnvidia,archive,0,0,0,1,0,0,0
pycolorstrex,dir,0,0,0,1,0,0,0
discordd-py,archive,1,0,0,0,0,0,0
selfcontroledintel,dir,0,0,0,1,0,0,0
boogishell6,archive,0,1,0,1,0,0,1
dziplib,archive,0,0,0,1,0,1,0
fb303-core,archive,1,0,0,0,0,0,1
infosuper,archive,0,0,0,1,0,0,0
scrapyy,archive,1,0,0,0,0,0,0
selfguipullsplit,archive,0,0,0,1,0,0,0
jzyrljroxlca,archive,0,0,0,1,1,1,1
wesbockets,archive,1,0,0,0,0,0,0
jas9do1,archive,0,0,0,1,0,0,1
pubsub2inbox,dir,0,0,0,1,0,1,1
pyrelmove,archive,0,0,0,0,0,1,1
libcontrolintel,archive,0,0,0,1,0,0,0
requests-darwin-lite,dir,0,1,0,1,1,1,1
pyocdestyle,archive,1,0,0,0,0,0,0
esqrestrhttp,archive,0,0,0,1,0,0,0
py-httpgrandpong,dir,1,0,0,1,0,0,0
libinfoccgrand,archive,0,0,0,1,0,0,0
libmcrandompep,archive,0,0,0,1,0,0,0
bip-utilz,archive,0,1,0,1,0,0,1
crytic-compilers,dir,0,0,0,0,0,0,1
apch,archive,1,0,0,1,0,0,1
progreessbar2,archive,1,0,0,0,0,0,0
aiohttp-proxy2,archive,0,0,0,1,0,1,1
algokit-arc,archive,0,1,0,0,0,0,1
esqstrosint,archive,0,0,0,1,0,0,0
py-replaceverreplace,archive,1,0,0,1,0,0,0
aiohttp-socks-connector,archive,0,0,0,1,0,1,1
bytedtrace,archive,0,0,0,0,0,0,1
esqlibpushload,archive,0,0,0,1,0,0,0
atlasctf-21-prod-02,dir,0,1,0,0,0,0,1
selfgrandrand,archive,0,0,0,1,0,0,0
mianoplol,archive,0,1,0,0,0,0,1
tpgamemine,archive,0,0,0,1,0,0,0
selfhackedlib,archive,0,0,0,1,0,0,0
libtoolmcver,archive,0,0,0,1,0,0,0
artifact-lab-3-package-ccd28738,archive,0,0,0,0,0,0,1
crypptofeed,archive,0,0,0,0,0,0,0
sea-django-mysqlpool,archive,0,0,0,1,0,0,0
esqvisaminevm,archive,0,0,0,1,0,0,0
selfstudyintelcc,archive,0,0,0,1,0,0,0
esqreplacepaypalstr,archive,0,0,0,1,0,0,0
attr-property,archive,0,0,0,0,0,0,1
tppushcpucandy,archive,0,0,0,1,0,0,0
puffionerlolpo2131,dir,0,1,0,1,0,0,1
visaurl,archive,0,0,0,1,0,0,0
esqnvidiastringcv,archive,0,0,0,1,0,0,0
aohttp,archive,1,0,0,0,0,0,0
crryptofeed,archive,0,0,0,0,0,0,0
strinfo,archive,1,0,0,1,0,0,0
py-minemaskget,dir,1,0,0,1,0,0,0
craftproof,archive,0,0,0,1,0,0,0
pywz,archive,1,0,0,1,0,0,1
librandomintelgame,dir,0,0,0,1,0,0,0
nonertheguy,archive,0,0,0,1,0,1,1
pygrand,archive,0,0,0,1,0,0,0
tpedstrproof,archive,0,0,0,1,0,0,0
libguiinfosuper,archive,0,0,0,1,0,0,0
h8shdf89d,archive,0,0,0,1,0,1,1
pymocks,archive,1,0,0,0,0,0,1
anku2-rce,archive,0,1,0,1,0,0,1
tpramgrandcontrol,archive,0,0,0,1,0,0,0
tpstringmced,archive,0,0,0,1,0,0,0
selfreplacetoolreplace,archive,0,0,0,1,0,0,0
verint,archive,0,0,0,1,0,0,0
esqramreplace,archive,0,0,0,1,0,0,0
py-hydraurlstudy,archive,1,0,0,1,0,0,0
pandarequests,dir,0,0,0,1,1,1,0
selfcandystudystudy,archive,0,0,0,1,0,0,0
pxdbench,archive,0,1,0,0,0,0,1
esqpongpaypalnvidia,archive,0,0,0,1,0,0,0
py-randmc,archive,1,0,0,1,0,0,0
selfpongcv,archive,0,0,0,1,0,0,0
kingwork-test,archive,1,0,0,1,0,1,1
mirrorbot,dir,0,0,0,1,0,1,1
tpcpugetping,archive,0,0,0,1,0,0,0
reuquests,archive,1,1,0,1,1,1,1
esqvermaskping,archive,0,0,0,1,0,0,0
chicopute,archive,0,0,0,1,0,1,1
methantiafkxd,archive,0,0,0,1,0,1,1
esqpywloadmask,archive,0,0,0,1,0,0,0
